"partners","num_papers"
"University of Michigan",434
"University of Phoenix",267
"Arizona State University",262
"University of Washington",256
"University of Pennsylvania",237
"Oregon Health & Science University",221
"Johns Hopkins University",203
"Columbia University Irving Medical Center",202
"Stanford University",202
"Harvard University",200
"The University of Texas at Austin",194
"Columbia University",181
"Mayo Clinic in Arizona",175
"Wayne State University",167
"University of California, Los Angeles",156
"University of Chicago",155
"University of California, Santa Cruz",151
"University of Utah",151
"University of Wisconsin–Madison",146
"University of California San Diego",143
"Research Institute for Fragrance Materials",140
"Cornell University",137
"Environmental and Occupational Health Sciences Institute",129
"The Ohio State University",126
"University of California, Berkeley",126
"Yale University",125
"New York University",122
"Washington University in St. Louis",122
"University of Florida",120
"University of Pittsburgh",119
"Planetary Science Institute",115
"University of California, San Francisco",114
"Brigham and Women's Hospital",110
"Space Telescope Science Institute",109
"University of California, Irvine",109
"Banner - University Medical Center Phoenix",108
"Arizona Science Center",107
"University of California, Davis",107
"California Institute of Technology",105
"Center for Astrophysics Harvard & Smithsonian",105
"Banner - University Medical Center Tucson",102
"Mayo Clinic in Florida",102
"Northwestern University",101
"University of Colorado Boulder",101
"Duke University",100
"Goddard Space Flight Center",99
"Phoenix College",99
"Southern Methodist University",99
"University of Oklahoma",99
"University of Miami",97
"University of Minnesota",96
"Emory University",95
"Mayo Clinic",90
"University of Colorado Denver",90
"Brookhaven National Laboratory",89
"Cleveland Clinic",88
"Pennsylvania State University",87
"Phoenix Children's Hospital",86
"Icahn School of Medicine at Mount Sinai",85
"Jet Propulsion Laboratory",85
"Massachusetts General Hospital",82
"Northern Illinois University",82
"Mayo Clinic Hospital",81
"University of Southern California",81
"Johns Hopkins Medicine",80
"Massachusetts Institute of Technology",80
"Stony Brook University",79
"Rutgers, The State University of New Jersey",77
"University of Maryland, College Park",77
"WinnMed",75
"Boston University",74
"Lawrence Berkeley National Laboratory",74
"The University of Texas Southwestern Medical Center",74
"University of North Carolina at Chapel Hill",74
"Indiana University – Purdue University Indianapolis",73
"Texas Tech University",73
"Baylor College of Medicine",72
"Oklahoma State University Oklahoma City",70
"Princeton University",70
"California State University System",68
"SLAC National Accelerator Laboratory",67
"University of Virginia",67
"Michigan State University",66
"Fermi National Accelerator Laboratory",65
"Texas A&M University",63
"Texas Tech University Health Sciences Center",63
"Vanderbilt University Medical Center",63
"University of Colorado Anschutz Medical Campus",62
"University of Illinois Urbana-Champaign",62
"University of Rochester",60
"University of Iowa",58
"Purdue University West Lafayette",57
"Colorado State University",56
"Creighton University",56
"NSF NOIRLab",56
"University of Alabama at Birmingham",56
"Brown University",55
"University of Illinois Chicago",55
"Banner Health",54
"University of Kentucky",54
"University of California, Santa Barbara",53
"Northern Arizona University",51
"The University of Texas MD Anderson Cancer Center",50
"Wake Forest University",50
"Georgia Institute of Technology",49
"Barrow Neurological Institute",48
"Case Western Reserve University",48
"University of Georgia",48
"University of Missouri",48
"Cedars-Sinai Medical Center",44
"Oregon State University",43
"University of Maryland, Baltimore",43
"Virginia Tech",43
"American Museum of Natural History",42
"Flatiron Health (United States)",42
"The University of Texas at San Antonio Health Science Center",42
"University of California System",42
"University of California, Riverside",42
"Vanderbilt University",42
