"ua_author_names","n"
"I G Sipes",110
"Karn Wijarnpreecha",46
"Michael A. Grandner",43
"Mohammad Reza Movahed",37
"Hoang Nhat Pham",35
"Julie G. Pilitsis",35
"Armin Sorooshian",30
"I.G. Sipes",30
"Nicholas J. Ashton",30
"Daewook Kim",29
"William D. S. Killgore",28
"Bellal Joseph",27
"Mehrtash Hashemzadeh",27
"Alisa Huskey",26
"Christopher N. A. Willmer",26
"Dari Duval",26
"Lifeng Lin",26
"George B. Frisvold",25
"Daniel J. Taylor",24
"Ronald G. Driggers",24
"Rongguang Liang",24
"Jean‐Luc Brédas",23
"Pierluigi Rinaldi",23
"Brian L. Erstad",22
"Franz Rischard",22
"Gloria D. Coronado",22
"Kuok Ho Daniel Tang",22
"Louis J. Magnotti",22
"Saurav Mallik",22
"Tribikram Kundu",22
"Juyoung Park",21
"Leslie V. Farland",20
"Brian J. Enquist",19
"C. Kent Kwoh",19
"Kevin Hainline",19
"Zhiyuan Ji",19
"David Negelspach",18
"Florian Willomitzer",18
"Hyochol Ahn",18
"Muhammad Haris Khurshid",18
"Veaceslav Coropceanu",18
"Xiaohui Fan",18
"Achisa C. Mecha",17
"Albrecht Classen",17
"Ashley Bickel",17
"David R. Axon",17
"Jefferey L. Burgess",17
"Omar Hejazi",17
"Yongda Zhu",17
"Kathryn Kennedy",16
"Lei Cao",16
"Rachna T. Shroff",16
"Brenda Frye",15
"Eiichi Egami",15
"Ewan S. Douglas",15
"Gene E. Alexander",15
"Ilaria Pascucci",15
"Matt Eichenfield",15
"Mohammad Al Ma’ani",15
"Rick G. Schnellmann",15
"Saikat Guha",15
"Salma Patel",15
"T. J. Zega",15
"Wei Wang",15
"Yao‐Jan Wu",15
"Ahmad Iftikhar",14
"Ali Behrangi",14
"Alicia M. Allen",14
"D. S. Lauretta",14
"Fariba Donovan",14
"Greg A. Barron‐Gafford",14
"Keith Runge",14
"Michael F. Brown",14
"Stephanie G. Worrell",14
"Tomas Cerny",14
"Bekir Tanrıöver",13
"Chi‐Young Lee",13
"Clara Curiel‐Lewandrowski",13
"Denise J. Roe",13
"Elise S. Gornish",13
"Erika Hamden",13
"Ivan B. Djordjević",13
"Jianwei Lyu",13
"K. Azalee Bostroem",13
"K. G. Klein",13
"Kevin J. Anchukaitis",13
"Matthias R. Mehl",13
"Michael D. Seckeler",13
"Nguyen Dinh‐Hung",13
"Ramya M. Anche",13
"S. R. Saleska",13
"Jakob M. Helton",12
"John M. Streicher",12
"Jordan F. Karp",12
"Liang Zhang",12
"Lisa M. Rimsza",12
"Malak Tfaily",12
"Matthew D Grilli",12
"Melissa Furlong",12
"Michael C. Kruer",12
"Richard W. Ziolkowski",12
"Sairam Parthasarathy",12
"Stefan Schumacher",12
"William K. Smith",12
"A. Elizabeth Arnold",11
"Aaron Lien",11
"Alyssa Ryan",11
"Andrea K. Gerlak",11
"Anna M. Morenz",11
"Bane Vasić",11
"Bofan Song",11
"Chiu‐Hsieh Hsu",11
"Chi‐kwan Chan",11
"Claudia V. Montanía",11
"Cynthia A. Thomson",11
"David J. Sand",11
"Francesca Vitali",11
"Henk Granzier",11
"Ivo Abraham",11
"Jennifer Andrews",11
"Karen Lutrick",11
"Karim El‐Kersh",11
"Katherine Ellingson",11
"Lianyang Zhang",11
"Linnea B. Linde-Krieger",11
"Mingyu Liang",11
"Muhammad Husnain",11
"Nipavan Chiamvimonvat",11
"Oliver Schilke",11
"Patrick Leslie",11
"Pierre A. Deymier",11
"Shawn C. Beitel",11
"Soheil Salehi",11
"Thomas Varkey",11
"Xubin Zeng",11
"Alejandro Salado",10
"Amanda M. Wilson",10
"Andrey V. Struts",10
"Arun K. Dhar",10
"Ashley A. Huggins",10
"Banafsheh Saber Latibari",10
"Boulat A. Bash",10
"ChangHoon Hahn",10
"E. Paillas",10
"Edward J. Bedrick",10
"Emmanuel Katsanis",10
"Francisco Castillo Diaz",10
"H. C. Connolly",10
"Heejoo Choi",10
"Hermann F. Fasel",10
"Isabelle Schrauwen",10
"James J. Galligan",10
"Jarrod Mosier",10
"Jarron Leisenring",10
"Jennifer W. Bea",10
"John J. B. Allen",10
"John N. Galgiani",10
"Judith K. Brown",10
"Julie G. Ledford",10
"Jungwon Cha",10
"Kacey C. Ernst",10
"Kaustubh Thirumalai",10
"Kelly Kim",10
"María I. Altbach",10
"Michael B. Fallon",10
"Paul R. Langlais",10
"Roberto Furfaro",10
"Samantha P. Harris",10
"Shengjie Xu",10
"Stacey Alberts",10
"Theodore P. Trouard",10
"Xiao Hu",10
"Zhihan Hong",10
