"countries","num_papers"
"GB",857
"DE",764
"CN",639
"CA",519
"FR",519
"ES",417
"SE",389
"IT",387
"NL",378
"BR",375
"AU",362
"JP",304
"CH",255
"IN",211
"IL",188
"CL",172
"ZA",166
"MX",160
"KR",151
"CZ",149
"NO",146
"PT",132
"DK",131
"PL",128
"BE",125
"TR",115
"GR",112
"AR",109
"RO",97
"RU",87
"TW",82
"MA",80
"AT",73
"HK",73
"FI",67
"SA",67
"CO",66
"BD",64
"IR",63
"EC",62
"TH",61
"SG",58
"AZ",54
"PK",52
"NZ",48
"KE",46
"IE",44
"AE",40
"SK",38
"NG",36
"RS",35
"EG",34
"MY",29
"PE",29
"ID",28
"HU",27
"GH",23
"QA",23
"PH",22
"JO",21
"UA",20
"BG",19
"TZ",19
"ET",18
"BO",17
"KZ",17
"PR",16
"UZ",16
"VE",15
"VN",15
"GE",12
"GT",12
"UG",12
"CU",11
"HR",11
"SI",11
"IS",10
"MG",10
"DZ",9
"EE",9
"AM",8
"LK",8
"NP",8
"PA",8
"SD",8
"TN",8
"BJ",7
"BY",7
"CR",7
"CY",7
"IQ",7
"LB",7
"PY",7
"UY",7
"YE",7
"ZM",7
"LT",6
"LU",6
"MO",6
"SS",6
"VA",6
"CM",5
"KN",5
"AF",4
"BB",4
"BW",4
"GF",4
"LV",4
"MK",4
"PS",4
"CI",3
"GA",3
"GM",3
"MT",3
"MW",3
"SV",3
"VI",3
"AG",2
"AL",2
"AS",2
"BH",2
"CD",2
"DO",2
"GD",2
"HN",2
"JM",2
"KP",2
"KW",2
"MD",2
"MM",2
"OM",2
"RW",2
"SN",2
"SO",2
"WS",2
"ZW",2
"AO",1
"AW",1
"BI",1
"CG",1
"GL",1
"GU",1
"HT",1
"IM",1
"KH",1
"LR",1
"LY",1
"MC",1
"ME",1
"MN",1
"MZ",1
"NA",1
"NE",1
"NI",1
"RE",1
"SC",1
"SJ",1
"SL",1
"SR",1
"SZ",1
"VG",1
"XK",1
