"partners","num_papers"
"Centre National de la Recherche Scientifique",258
"Lund University",233
"Universidade de São Paulo",172
"University of Würzburg",161
"University of Toronto",160
"Utrecht University",149
"Liverpool John Moores University",141
"University College London",135
"Sorbonne Université",134
"Université Paris-Saclay",132
"University of Edinburgh",128
"University of Manchester",117
"Ludwig-Maximilians-Universität München",113
"Heidelberg University",110
"University of Milan",109
"University of Geneva",103
"Tel Aviv University",101
"McGill University",100
"Aix-Marseille Université",96
"University of Birmingham",92
"University of Victoria",91
"University of Warwick",90
"University of Cambridge",89
"University of Sussex",89
"Université Grenoble Alpes",89
"University of Liverpool",87
"University of Oxford",87
"Lancaster University",86
"Universitat de València",86
"Istituto Nazionale di Fisica Nucleare, Sezione di Napoli",85
"University of Bonn",85
"University of Göttingen",85
"Johannes Gutenberg University Mainz",84
"University of Rome Tor Vergata",84
"European Organization for Nuclear Research",81
"University of Bergen",81
"Waseda University",81
"Barcelona Institute of Science and Technology",80
"FZU ‒ Institute of Physics of the Academy of Sciences of the Czech Republic",80
"King's College London",79
"Universidade Federal do Rio de Janeiro",79
"Istituto Nazionale di Fisica Nucleare, Sezione di Bologna",78
"Istituto Nazionale di Fisica Nucleare, Sezione di Milano",78
"Istituto Nazionale di Fisica Nucleare, Sezione di Pisa",78
"Université Paris Cité",78
"LIP - Laboratory of Instrumentation and Experimental Particle Physics",77
"University of Johannesburg",77
"University of Sheffield",77
"Consejo Nacional de Investigaciones Científicas y Técnicas",76
"Istituto Nazionale di Fisica Nucleare, Roma Tor Vergata",75
"National and Kapodistrian University of Athens",75
"Istituto Nazionale di Fisica Nucleare, Laboratori Nazionali di Frascati",74
"Royal Holloway University of London",74
"Universidad Nacional de La Plata",74
"Université Bourgogne Franche-Comté",74
"Chinese Academy of Sciences",73
"Istanbul University",73
"Alexandru Ioan Cuza University",72
"Czech Technical University in Prague",72
"High Energy Accelerator Research Organization",72
"Mohammed V University",72
"TU Dortmund University",72
"Zhengzhou University",72
"Horia Hulubei National Institute for R and D in Physics and Nuclear Engineering",71
"National Technical University of Athens",71
"The University of Tokyo",71
"University of Glasgow",71
"Rutherford Appleton Laboratory",70
"University of Copenhagen",70
"Institut National de Physique Nucléaire et de Physique des Particules",69
"Jagiellonian University",69
"University of Hassan II Casablanca",69
"University of Freiburg",68
"Université Savoie Mont Blanc",68
"Aristotle University of Thessaloniki",67
"University of Oslo",67
"AGH University of Krakow",66
"Istituto Nazionale di Fisica Nucleare, Sezione di Trieste",66
"Universidad Nacional Autónoma de México",66
"Stockholm University",63
"Max Planck Institute for Astronomy",61
"Boğaziçi University",60
"European Southern Observatory",60
"Leiden University",60
"University of British Columbia",55
"Institut polytechnique de Grenoble",54
"Laboratoire de Physique des 2 Infinis Irène Joliot-Curie",52
"Azerbaijan National Academy of Sciences",51
"Istituto Nazionale di Fisica Nucleare, Sezione di Roma I",50
"The University of Melbourne",47
"Institut d'Astrophysique de Paris",46
"Institut d'Estudis Espacials de Catalunya",45
"Max Planck Institute for Extraterrestrial Physics",45
"National Astronomical Observatory of Japan",44
"Universidad Autónoma de Madrid",44
"Australian National University",43
"The University of Queensland",43
"University of Gothenburg",43
"Commissariat à l'Énergie Atomique et aux Énergies Alternatives",42
"Peking University",42
"Instituto de Astrofísica de Andalucía",41
"University of Groningen",41
"Islamic University",40
"Technion – Israel Institute of Technology",40
"Chiang Mai University",39
"Tsinghua University",39
"University of Waterloo",39
"Centro de Astrobiología",38
"The University of Sydney",38
"University of Bern",38
"University of Hong Kong",38
"Durham University",37
