"Metric","Value"
"Total articles (2025)","7131"
"Unique UA authors","7187"
"UA solo publications","1258"
"US collaboration","2784"
"International collaboration","3089"
"Top US partner","University of Michigan"
"Top international partner","Centre National de la Recherche Scientifique"
"Top collaborating country","GB"
"Unique countries collaborated with","162"
"Unique institutions collaborated with","9005"
"Mean citations per paper","2.82"
"Mean FWCI","2.98"
"UA as corresponding author (%)","30.2"
