"field","num_papers","pct"
"Medicine",2109,29.6
"Physics and Astronomy",748,10.5
"Engineering",649,9.1
"Environmental Science",514,7.2
"Social Sciences",510,7.2
"Biochemistry, Genetics and Molecular Biology",431,6.1
"Computer Science",370,5.2
"Earth and Planetary Sciences",268,3.8
"Psychology",268,3.8
"Agricultural and Biological Sciences",211,3
"Neuroscience",185,2.6
"Health Professions",165,2.3
"Arts and Humanities",103,1.4
"Decision Sciences",101,1.4
"Materials Science",81,1.1
"Immunology and Microbiology",80,1.1
"Business, Management and Accounting",78,1.1
"Chemistry",57,0.8
"Economics, Econometrics and Finance",52,0.7
"Mathematics",51,0.7
"Energy",25,0.4
"Nursing",25,0.4
"Pharmacology, Toxicology and Pharmaceutics",22,0.3
"Dentistry",9,0.1
"Veterinary",6,0.1
"Chemical Engineering",2,0
