"field","num_papers","mean_citations","mean_fwci"
"Medicine",2109,2.41,2.17
"Physics and Astronomy",748,6.74,5.27
"Engineering",649,2.44,1.87
"Environmental Science",514,3.68,2.98
"Social Sciences",510,1.6,5.53
"Biochemistry, Genetics and Molecular Biology",431,2.6,1.83
"Computer Science",370,1.69,2.42
"Earth and Planetary Sciences",268,3.92,4.26
"Psychology",268,1.3,2.02
"Agricultural and Biological Sciences",211,2.74,4.09
"Neuroscience",185,1.66,1.21
"Health Professions",165,0.85,1.8
"Arts and Humanities",103,1.26,10.76
"Decision Sciences",101,1.48,2.71
"Materials Science",81,3.88,1.37
"Immunology and Microbiology",80,2.52,2.01
"Business, Management and Accounting",78,1.55,3.2
"Chemistry",57,4.16,2.14
"Economics, Econometrics and Finance",52,0.71,1.53
"Mathematics",51,2.22,3.88
"Energy",25,4.2,1.15
"Nursing",25,2.72,2.5
"Pharmacology, Toxicology and Pharmaceutics",22,1.82,1.56
"Dentistry",9,0.89,1.11
"Veterinary",6,0.17,0.27
"Chemical Engineering",2,3,0.72
