"subfield","num_papers","pct"
"Astronomy and Astrophysics",462,6.5
"Molecular Biology",220,3.1
"Epidemiology",209,2.9
"Surgery",208,2.9
"Cardiology and Cardiovascular Medicine",167,2.3
"Sociology and Political Science",163,2.3
"Dermatology",162,2.3
"Artificial Intelligence",159,2.2
"Pulmonary and Respiratory Medicine",158,2.2
"Physiology",133,1.9
"Global and Planetary Change",128,1.8
"Oncology",124,1.7
"Public Health, Environmental and Occupational Health",124,1.7
"Genetics",122,1.7
"Biomedical Engineering",121,1.7
"Atomic and Molecular Physics, and Optics",119,1.7
"Atmospheric Science",118,1.7
"Electrical and Electronic Engineering",116,1.6
"Neurology",112,1.6
"Nuclear and High Energy Physics",102,1.4
"General Health Professions",100,1.4
"Ecology",92,1.3
"Plant Science",86,1.2
"Psychiatry and Mental health",86,1.2
"Experimental and Cognitive Psychology",85,1.2
"Radiology, Nuclear Medicine and Imaging",84,1.2
"Education",82,1.2
"Aerospace Engineering",80,1.1
"Cognitive Neuroscience",78,1.1
"Clinical Psychology",74,1
"Geophysics",67,0.9
"Social Psychology",65,0.9
"Pharmacology",59,0.8
"Pathology and Forensic Medicine",52,0.7
"Computer Vision and Pattern Recognition",51,0.7
"Endocrinology, Diabetes and Metabolism",51,0.7
"Infectious Diseases",51,0.7
"Mechanical Engineering",51,0.7
"Ecology, Evolution, Behavior and Systematics",50,0.7
"Environmental Engineering",50,0.7
"Information Systems",50,0.7
"Information Systems and Management",49,0.7
"Water Science and Technology",47,0.7
"Civil and Structural Engineering",46,0.6
"Immunology",46,0.6
"Political Science and International Relations",44,0.6
"Computer Networks and Communications",43,0.6
"Materials Chemistry",43,0.6
"Computational Mechanics",42,0.6
"Health, Toxicology and Mutagenesis",42,0.6
"Economics and Econometrics",41,0.6
"Mechanics of Materials",40,0.6
"Environmental Chemistry",38,0.5
"Health",38,0.5
"Rheumatology",38,0.5
"Developmental and Educational Psychology",35,0.5
"Paleontology",34,0.5
"Cellular and Molecular Neuroscience",33,0.5
"Building and Construction",32,0.4
"Control and Systems Engineering",31,0.4
"Instrumentation",31,0.4
"Management, Monitoring, Policy and Law",31,0.4
"Hematology",30,0.4
"Ecological Modeling",28,0.4
"Gender Studies",28,0.4
"Cell Biology",27,0.4
"Industrial and Manufacturing Engineering",27,0.4
"Media Technology",27,0.4
"Pollution",27,0.4
"Soil Science",27,0.4
"Management Science and Operations Research",26,0.4
"Cancer Research",25,0.4
"Emergency Medicine",25,0.4
"Organic Chemistry",25,0.4
"Pediatrics, Perinatology and Child Health",25,0.4
"Statistics, Probability and Uncertainty",25,0.4
"Renewable Energy, Sustainability and the Environment",24,0.3
"Safety Research",24,0.3
"Anthropology",23,0.3
"Literature and Literary Theory",23,0.3
"Nephrology",23,0.3
"Obstetrics and Gynecology",23,0.3
"Accounting",22,0.3
"Anesthesiology and Pain Medicine",22,0.3
"Nature and Landscape Conservation",22,0.3
"Critical Care and Intensive Care Medicine",21,0.3
"Oceanography",19,0.3
"Statistical and Nonlinear Physics",19,0.3
"Endocrine and Autonomic Systems",18,0.3
"Communication",17,0.2
"Health Informatics",17,0.2
"Hepatology",17,0.2
"Nutrition and Dietetics",17,0.2
"Cultural Studies",16,0.2
"Insect Science",16,0.2
"Geriatrics and Gerontology",15,0.2
"Language and Linguistics",15,0.2
"Parasitology",15,0.2
"Safety, Risk, Reliability and Quality",15,0.2
"Spectroscopy",15,0.2
"Strategy and Management",15,0.2
"History",14,0.2
"Ocean Engineering",14,0.2
"Ophthalmology",14,0.2
"Philosophy",14,0.2
"Reproductive Medicine",14,0.2
"Signal Processing",14,0.2
"Archeology",13,0.2
"Automotive Engineering",13,0.2
"Biophysics",13,0.2
"Geochemistry and Petrology",13,0.2
"Hardware and Architecture",13,0.2
"Law",13,0.2
"Linguistics and Language",13,0.2
"Transportation",13,0.2
"Electronic, Optical and Magnetic Materials",12,0.2
"Occupational Therapy",12,0.2
"Rehabilitation",12,0.2
"Speech and Hearing",12,0.2
"Computational Theory and Mathematics",11,0.2
"Computer Science Applications",11,0.2
"Emergency Medical Services",11,0.2
"Geography, Planning and Development",11,0.2
"Health Information Management",11,0.2
"Human-Computer Interaction",11,0.2
"Inorganic Chemistry",11,0.2
"Organizational Behavior and Human Resource Management",11,0.2
"Polymers and Plastics",11,0.2
"Statistics and Probability",11,0.2
"Complementary and alternative medicine",10,0.1
"Management of Technology and Innovation",10,0.1
"Microbiology",10,0.1
"Orthopedics and Sports Medicine",10,0.1
"Radiation",10,0.1
"Transplantation",10,0.1
"Earth-Surface Processes",9,0.1
"Food Science",9,0.1
"Management Information Systems",9,0.1
"Mathematical Physics",9,0.1
"Molecular Medicine",9,0.1
"Sensory Systems",9,0.1
"Visual Arts and Performing Arts",9,0.1
"Applied Mathematics",8,0.1
"Behavioral Neuroscience",8,0.1
"Biochemistry",8,0.1
"General Agricultural and Biological Sciences",8,0.1
"Geometry and Topology",8,0.1
"Aging",7,0.1
"Applied Psychology",7,0.1
"Biomaterials",7,0.1
"Demography",7,0.1
"Development",7,0.1
"Finance",7,0.1
"Geology",7,0.1
"Immunology and Allergy",7,0.1
"Pharmaceutical Science",7,0.1
"Physical Therapy, Sports Therapy and Rehabilitation",7,0.1
"Surfaces, Coatings and Films",7,0.1
"Biotechnology",6,0.1
"Classics",6,0.1
"Clinical Biochemistry",6,0.1
"Gastroenterology",6,0.1
"History and Philosophy of Science",6,0.1
"Marketing",6,0.1
"Modeling and Simulation",6,0.1
"Urology",6,0.1
"Virology",6,0.1
"Animal Science and Zoology",5,0.1
"Issues, ethics and legal aspects",5,0.1
"Otorhinolaryngology",5,0.1
"Periodontics",5,0.1
"Urban Studies",5,0.1
"Analytical Chemistry",4,0.1
"Aquatic Science",4,0.1
"Complementary and Manual Therapy",4,0.1
"Computational Mathematics",4,0.1
"Developmental Biology",4,0.1
"Family Practice",4,0.1
"Forestry",4,0.1
"General Economics, Econometrics and Finance",4,0.1
"Pharmacy",4,0.1
"Radiological and Ultrasound Technology",4,0.1
"Software",4,0.1
"Applied Microbiology and Biotechnology",3,0
"Architecture",3,0
"Business and International Management",3,0
"Computer Graphics and Computer-Aided Design",3,0
"Condensed Matter Physics",3,0
"Conservation",3,0
"Developmental Neuroscience",3,0
"Endocrinology",3,0
"Equine",3,0
"Internal Medicine",3,0
"Oral Surgery",3,0
"Research and Theory",3,0
"Small Animals",3,0
"Acoustics and Ultrasonics",2,0
"Agronomy and Crop Science",2,0
"Algebra and Number Theory",2,0
"Catalysis",2,0
"Discrete Mathematics and Combinatorics",2,0
"Neuropsychology and Physiological Psychology",2,0
"Physical and Theoretical Chemistry",2,0
"Religious studies",2,0
"Tourism, Leisure and Hospitality Management",2,0
"Anatomy",1,0
"Biological Psychiatry",1,0
"Ceramics and Composites",1,0
"Energy Engineering and Power Technology",1,0
"General Decision Sciences",1,0
"General Dentistry",1,0
"General Social Sciences",1,0
"Library and Information Sciences",1,0
"Life-span and Life-course Studies",1,0
"Music",1,0
"Numerical Analysis",1,0
"Space and Planetary Science",1,0
"Structural Biology",1,0
"Toxicology",1,0
