"domain","funder_name","num_papers"
"Health Sciences","National Institutes of Health",304
"Health Sciences","National Heart, Lung, and Blood Institute",132
"Health Sciences","National Cancer Institute",126
"Health Sciences","National Institute on Aging",86
"Health Sciences","National Center for Advancing Translational Sciences",51
"Life Sciences","National Institutes of Health",168
"Life Sciences","National Science Foundation",68
"Life Sciences","National Institute of General Medical Sciences",61
"Life Sciences","National Heart, Lung, and Blood Institute",55
"Life Sciences","National Institute on Aging",51
"Physical Sciences","National Science Foundation",591
"Physical Sciences","National Aeronautics and Space Administration",290
"Physical Sciences","U.S. Department of Energy",232
"Physical Sciences","National Natural Science Foundation of China",207
"Physical Sciences","European Commission",167
"Social Sciences","National Institutes of Health",48
"Social Sciences","National Science Foundation",41
"Social Sciences","National Institute of Mental Health",27
"Social Sciences","University of Arizona",26
"Social Sciences","National Institute on Aging",19
