"topic","num_papers","pct"
"Contact Dermatitis and Allergies",138,1.9
"Stellar, planetary, and galactic studies",100,1.4
"Galaxies: Formation, Evolution, Phenomena",82,1.2
"Astro and Planetary Science",71,1
"Particle physics theoretical and experimental studies",71,1
"Astrophysics and Star Formation Studies",45,0.6
"Dementia and Cognitive Impairment Research",41,0.6
"Geological and Geochemical Analysis",37,0.5
"Business and Management Studies",35,0.5
"Adaptive optics and wavefront sensing",34,0.5
"Pulmonary Hypertension Research and Treatments",34,0.5
"Sleep and related disorders",34,0.5
"Geology and Paleoclimatology Research",33,0.5
"Fungal Infections and Studies",32,0.4
"Astrophysical Phenomena and Observations",31,0.4
"Planetary Science and Exploration",31,0.4
"Plant Water Relations and Carbon Dynamics",31,0.4
"Gamma-ray bursts and supernovae",30,0.4
"Liver Disease Diagnosis and Treatment",28,0.4
"Species Distribution and Climate Change",28,0.4
"Astronomy and Astrophysical Research",27,0.4
"Hydrology and Watershed Management Studies",26,0.4
"Alzheimer's disease research and treatments",23,0.3
"Cardiomyopathy and Myosin Studies",23,0.3
"Plant and animal studies",22,0.3
"Atmospheric aerosols and clouds",21,0.3
"Global Cancer Incidence and Screening",20,0.3
"Opioid Use Disorder Treatment",20,0.3
"Quantum Computing Algorithms and Architecture",20,0.3
"Quantum Information and Cryptography",20,0.3
"Tree-ring climate responses",20,0.3
"Cryospheric studies and observations",19,0.3
"Mechanical Circulatory Support Devices",19,0.3
"Cancer survivorship and care",18,0.3
"Cervical Cancer and HPV Research",18,0.3
"Fire effects on ecosystems",18,0.3
"Meta-analysis and systematic reviews",18,0.3
"Per- and polyfluoroalkyl substances research",18,0.3
"Shoulder Injury and Treatment",18,0.3
"Solar and Space Plasma Dynamics",18,0.3
"Artificial Intelligence in Healthcare and Education",17,0.2
"Cosmology and Gravitation Theories",17,0.2
"Pain Management and Treatment",17,0.2
"Atrial Fibrillation Management and Outcomes",16,0.2
"Mechanical and Optical Resonators",16,0.2
"Photovoltaic Systems and Sustainability",16,0.2
"Advanced MRI Techniques and Applications",15,0.2
"Climate Change and Health Impacts",15,0.2
"Fluid Dynamics and Turbulent Flows",15,0.2
"Long-Term Effects of COVID-19",15,0.2
"Obstructive Sleep Apnea Research",15,0.2
"Pain Mechanisms and Treatments",15,0.2
"Traumatic Brain Injury Research",15,0.2
"Alcohol Consumption and Health Effects",14,0.2
"Archaeology and ancient environmental studies",14,0.2
"Atmospheric chemistry and aerosols",14,0.2
"Cardiac Valve Diseases and Treatments",14,0.2
"Colorectal Cancer Screening and Detection",14,0.2
"Congenital Heart Disease Studies",14,0.2
"Esophageal Cancer Research and Treatment",14,0.2
"Microplastics and Plastic Pollution",14,0.2
"Neurological disorders and treatments",14,0.2
"Software System Performance and Reliability",14,0.2
"Asthma and respiratory diseases",13,0.2
"Climate variability and models",13,0.2
"Functional Brain Connectivity Studies",13,0.2
"Lymphoma Diagnosis and Treatment",13,0.2
"Ultrasonics and Acoustic Wave Propagation",13,0.2
"Wildlife Ecology and Conservation",13,0.2
"Advanced Neuroimaging Techniques and Applications",12,0.2
"Cancer Genomics and Diagnostics",12,0.2
"Cannabis and Cannabinoid Research",12,0.2
"Critical Race Theory in Education",12,0.2
"Flood Risk Assessment and Management",12,0.2
"Human-Animal Interaction Studies",12,0.2
"Migraine and Headache Studies",12,0.2
"Multilingual Education and Policy",12,0.2
"Nonmelanoma Skin Cancer Studies",12,0.2
"Pancreatic and Hepatic Oncology Research",12,0.2
"Photonic and Optical Devices",12,0.2
"Research Data Management Practices",12,0.2
"Atmospheric and Environmental Gas Dynamics",11,0.2
"CAR-T cell therapy research",11,0.2
"Cardiovascular Function and Risk Factors",11,0.2
"Diabetes Treatment and Management",11,0.2
"Ecology and Vegetation Dynamics Studies",11,0.2
"Infrared Target Detection Methodologies",11,0.2
"Innovations in Medical Education",11,0.2
"Machine Learning in Materials Science",11,0.2
"Meteorological Phenomena and Simulations",11,0.2
"Occupational Health and Performance",11,0.2
"Osteoarthritis Treatment and Mechanisms",11,0.2
"Phonetics and Phonology Research",11,0.2
"Pulsars and Gravitational Waves Research",11,0.2
"Remote Sensing in Agriculture",11,0.2
"Respiratory viral infections research",11,0.2
"Simulation-Based Education in Healthcare",11,0.2
"Sleep and Wakefulness Research",11,0.2
"Topic Modeling",11,0.2
"Traffic and Road Safety",11,0.2
"Advanced Optical Imaging Technologies",10,0.1
"Antenna Design and Analysis",10,0.1
"Building Energy and Comfort Optimization",10,0.1
"COVID-19 Clinical Research Studies",10,0.1
"Dermatology and Skin Diseases",10,0.1
"Diversity and Career in Medicine",10,0.1
"Geophysics and Gravity Measurements",10,0.1
"Health Systems, Economic Evaluations, Quality of Life",10,0.1
"Health disparities and outcomes",10,0.1
"Healthcare professionals’ stress and burnout",10,0.1
"Heart Failure Treatment and Management",10,0.1
"Laser-induced spectroscopy and plasma",10,0.1
"Mental Health Research Topics",10,0.1
"Microbial Community Ecology and Physiology",10,0.1
"Mosquito-borne diseases and control",10,0.1
"Organic Electronics and Photovoltaics",10,0.1
"Perovskite Materials and Applications",10,0.1
"Plant Virus Research Studies",10,0.1
"Renal Transplantation Outcomes and Treatments",10,0.1
"Resilience and Mental Health",10,0.1
"Single-cell and spatial transcriptomics",10,0.1
"Transplantation: Methods and Outcomes",10,0.1
"Additive Manufacturing Materials and Processes",9,0.1
"Air Quality and Health Impacts",9,0.1
"Amyloidosis: Diagnosis, Treatment, Outcomes",9,0.1
"Attachment and Relationship Dynamics",9,0.1
"Auditing, Earnings Management, Governance",9,0.1
"Cancer Immunotherapy and Biomarkers",9,0.1
"Cardiac electrophysiology and arrhythmias",9,0.1
"Cerebrovascular and Carotid Artery Diseases",9,0.1
"Circadian rhythm and melatonin",9,0.1
"Computational Drug Discovery Methods",9,0.1
"Environmental Education and Sustainability",9,0.1
"Epigenetics and DNA Methylation",9,0.1
"Health Literacy and Information Accessibility",9,0.1
"Healthcare Policy and Management",9,0.1
"Heart Rate Variability and Autonomic Control",9,0.1
"Hematopoietic Stem Cell Transplantation",9,0.1
"Intracranial Aneurysms: Treatment and Complications",9,0.1
"Language Development and Disorders",9,0.1
"Membrane Separation Technologies",9,0.1
"Memory and Neural Mechanisms",9,0.1
"Neonatal Respiratory Health Research",9,0.1
"Neural Networks and Reservoir Computing",9,0.1
