Name,Collaborations
LAWRENCE MANDARINO,23
DAWN KATRINA COLETTA,22
LESLIE BAIER,21
ROBERT HANSON,21
GABRIEL QUANTUM SHAIBI,18
PAUL R LANGLAIS,12
CORRIE MARIE WHISNER,10
LIYA YIN,9
YANQIAO ZHANG,9
YANN CHARLES KLIMENTIDIS,8
ELIZABETH A. REIFSNIDER,7
EYITAYO OMOLARA OWOLABI,6
NAM Y LEE,6
MARISOL PEREZ,6
FREDRIC E. WONDISFORD,6
LINDA J LUECKEN,6
LING HE,6
MATTHEW P BUMAN,5
FLOYD H CHILTON,5
MELISSA CHAMBERS,3
ROSA KRAJMALNIK-BROWN,3
MELANIE DANIELA HINGLE,2
JOHN GERARD PURDY,2
RODNEY JOSEPH,2
ASHLEY JONES SNIDER,2
CHRISTOS S KATSANOS,2
JASON A WERTHEIM,1
KLEARCHOS K PAPAS,1
JENNIFER HELENE STERN,1
ELLEN P GREEN,1
MARVIN J SLEPIAN,1
SEAN W LIMESAND,1
BENJAMIN JENNINGS RENQUIST,1
