display_name,a_number,csv_institution,verification
Scott C. Beeman,A5005631326,ASU,✓ VERIFIED | Name: Scott C. Beeman | Works: 79 | Last Known Affiliation: Arizona State University
Matthew P. Buman,A5000559212,ASU,✓ VERIFIED | Name: Matthew P. Buman | Works: 312 | Last Known Affiliation: Arizona State University
Ellen P. Green,A5047947143,ASU,✓ VERIFIED | Name: Ellen P. Green | Works: 19 | Last Known Affiliation: Arizona State University
Rodney P. Joseph,A5053124087,ASU,✓ VERIFIED | Name: Rodney P. Joseph | Works: 71 | Last Known Affiliation: Arizona State University
Christos S. Katsanos,A5074138380,ASU,✓ VERIFIED | Name: Christos S. Katsanos | Works: 109 | Last Known Affiliation: Mayo Clinic in Arizona; Arizona State University
Min‐Hyun Kim,A5024956976,ASU,✓ VERIFIED | Name: Min‐Hyun Kim | Works: 38 | Last Known Affiliation: Arizona State University
Rosa Krajmalnik‐Brown,A5035488966,ASU,✓ VERIFIED | Name: Rosa Krajmalnik‐Brown | Works: 214 | Last Known Affiliation: Institute for Biodiversity; Arizona State University
Joshua LaBaer,A5046993686,ASU,✓ VERIFIED | Name: Joshua LaBaer | Works: 418 | Last Known Affiliation: Arizona State University
Linda J. Luecken,A5073812178,ASU,✓ VERIFIED | Name: Linda J. Luecken | Works: 149 | Last Known Affiliation: Arizona State University
Miyeko Mana,A5028420772,ASU,✓ VERIFIED | Name: Miyeko Mana | Works: 69 | Last Known Affiliation: Mayo Clinic in Arizona; Mayo Clinic Hospital; Arizona State University
Eyitayo Omolara Owolabi,A5006639752,ASU,✓ VERIFIED | Name: Eyitayo Omolara Owolabi | Works: 79 | Last Known Affiliation: Arizona State University
Adewale L. Oyeyemi,A5066047427,ASU,✓ VERIFIED | Name: Adewale L. Oyeyemi | Works: 175 | Last Known Affiliation: Redeemer's University; Arizona State University
Marisol Pérez,A5013609965,ASU,✓ VERIFIED | Name: Marisol Pérez | Works: 129 | Last Known Affiliation: Arizona State University; Old Dominion University
Gabriel Q. Shaibi,A5020059038,ASU,✓ VERIFIED | Name: Gabriel Q. Shaibi | Works: 210 | Last Known Affiliation: Phoenix Children's Hospital; Arizona State University
Bing Si,A5053304698,ASU,✓ VERIFIED | Name: Bing Si | Works: 39 | Last Known Affiliation: Arizona State University
Taichi A. Suzuki,A5008343733,ASU,✓ VERIFIED | Name: Taichi A. Suzuki | Works: 53 | Last Known Affiliation: Arizona State University
Jessica D. Weaver,A5021883063,ASU,✓ VERIFIED | Name: Jessica D. Weaver | Works: 57 | Last Known Affiliation: Arizona State University
Corrie M. Whisner,A5003624984,ASU,✓ VERIFIED | Name: Corrie M. Whisner | Works: 132 | Last Known Affiliation: Institute for Biodiversity; Arizona State University
Leslie J. Baier,A5041569085,NIDDK,✓ VERIFIED | Name: Leslie J. Baier | Works: 219 | Last Known Affiliation: National Institutes of Health; National Institute of Diabetes and Digestive and Kidney Diseases
Robert L. Hanson,A5049047999,NIDDK,✓ VERIFIED | Name: Robert L. Hanson | Works: 582 | Last Known Affiliation: National Institutes of Health; The University of Texas Rio Grande Valley; National Institute of Diabetes and Digestive and Kidney Diseases; Phoenix (United States); Christian Doppler Laboratory for Thermoelectricity
Halimatou Alaofè,A5078896557,UA,✓ VERIFIED | Name: Halimatou Alaofè | Works: 75 | Last Known Affiliation: University of Arizona
Tamsen Bassford,A5071153015,UA,✓ VERIFIED | Name: Tamsen Bassford | Works: 48 | Last Known Affiliation: University of Arizona
Haijiang Cai,A5016491243,UA,✓ VERIFIED | Name: Haijiang Cai | Works: 38 | Last Known Affiliation: University of Arizona
Floyd H. Chilton,A5036628305,UA,✓ VERIFIED | Name: Floyd H. Chilton | Works: 208 | Last Known Affiliation: University of Arizona; Arizona Oncology; Tecnológico de Monterrey
Dawn K. Coletta,A5067688814,UA,✓ VERIFIED | Name: Dawn K. Coletta | Works: 109 | Last Known Affiliation: Translational Genomics Research Institute; University of Arizona
Joshua N. Farr,A5035959642,UA,✓ VERIFIED | Name: Joshua N. Farr | Works: 140 | Last Known Affiliation: Mayo Clinic; University of Arizona; Mayo Clinic in Florida
James J. Galligan,A5085256874,UA,✓ VERIFIED | Name: James J. Galligan | Works: 271 | Last Known Affiliation: University of Arizona; Michigan State University
Geoffrey C. Gurtner,A5009803821,UA,✓ VERIFIED | Name: Geoffrey C. Gurtner | Works: 618 | Last Known Affiliation: University of Arizona; Stanford University
Melanie Hingle,A5007110546,UA,✓ VERIFIED | Name: Melanie Hingle | Works: 115 | Last Known Affiliation: University of Arizona
Melanie M. Kaelberer,A5036481612,UA,✓ VERIFIED | Name: Melanie M. Kaelberer | Works: 33 | Last Known Affiliation: University of Arizona; Duke University
Yann C. Klimentidis,A5069279080,UA,✓ VERIFIED | Name: Yann C. Klimentidis | Works: 158 | Last Known Affiliation: University of Arizona
Michael S. Kuhns,A5061031339,UA,✓ VERIFIED | Name: Michael S. Kuhns | Works: 52 | Last Known Affiliation: University of Arizona; University of Arizona Cancer Center
