display_name,a_number,verification,csv_institution
Matthew P. Buman,A5000559212,✓ VERIFIED | Name: Matthew P. Buman | Works: 312 | Last Known Affiliation: Arizona State University,ASU
Ellen P. Green,A5047947143,✓ VERIFIED | Name: Ellen P. Green | Works: 19 | Last Known Affiliation: Arizona State University,ASU
Rodney P. Joseph,A5053124087,✓ VERIFIED | Name: Rodney P. Joseph | Works: 71 | Last Known Affiliation: Arizona State University,ASU
Christos S. Katsanos,A5074138380,✓ VERIFIED | Name: Christos S. Katsanos | Works: 109 | Last Known Affiliation: Mayo Clinic in Arizona,ASU
Min‐Hyun Kim,A5024956976,✓ VERIFIED | Name: Min‐Hyun Kim | Works: 38 | Last Known Affiliation: Arizona State University,ASU
Rosa Krajmalnik‐Brown,A5035488966,✓ VERIFIED | Name: Rosa Krajmalnik‐Brown | Works: 213 | Last Known Affiliation: Institute for Biodiversity,ASU
Joshua LaBaer,A5046993686,✓ VERIFIED | Name: Joshua LaBaer | Works: 418 | Last Known Affiliation: Arizona State University,ASU
Linda J. Luecken,A5073812178,✓ VERIFIED | Name: Linda J. Luecken | Works: 149 | Last Known Affiliation: Arizona State University,ASU
Miyeko Mana,A5028420772,✓ VERIFIED | Name: Miyeko Mana | Works: 69 | Last Known Affiliation: Mayo Clinic in Arizona,ASU
Eyitayo Omolara Owolabi,A5006639752,✓ VERIFIED | Name: Eyitayo Omolara Owolabi | Works: 79 | Last Known Affiliation: Arizona State University,ASU
Adewale L. Oyeyemi,A5066047427,✓ VERIFIED | Name: Adewale L. Oyeyemi | Works: 175 | Last Known Affiliation: Redeemer's University,ASU
Marisol Pérez,A5013609965,✓ VERIFIED | Name: Marisol Pérez | Works: 129 | Last Known Affiliation: Arizona State University,ASU
Bing Si,A5053304698,✓ VERIFIED | Name: Bing Si | Works: 39 | Last Known Affiliation: Arizona State University,ASU
Taichi A. Suzuki,A5008343733,✓ VERIFIED | Name: Taichi A. Suzuki | Works: 53 | Last Known Affiliation: Arizona State University,ASU
Corrie M. Whisner,A5003624984,✓ VERIFIED | Name: Corrie M. Whisner | Works: 132 | Last Known Affiliation: Institute for Biodiversity,ASU
Leslie J. Baier,A5041569085,✓ VERIFIED | Name: Leslie J. Baier | Works: 219 | Last Known Affiliation: National Institutes of Health,NIDDK
Robert L. Hanson,A5049047999,✓ VERIFIED | Name: Robert L. Hanson | Works: 582 | Last Known Affiliation: National Institutes of Health,NIDDK
Halimatou Alaofè,A5078896557,✓ VERIFIED | Name: Halimatou Alaofè | Works: 75 | Last Known Affiliation: University of Arizona,UA
Wei Zhou,A5100640843,✓ VERIFIED | Name: Wei Zhou | Works: 170 | Last Known Affiliation: University of Arizona,UA
