requested_work_id,award_position,award_openalex_id,award_display_name,funder_award_id,funder_openalex_id,funder_display_name,award_doi
W4387966321,1,G2268053151,,ERKJ355,F4320306084,U.S. Department of Energy,
W4387966321,2,G5003045098,,N00014- 19-1-2190,F4320337345,Office of Naval Research,
W4387966321,3,G7576470222,NSF Engineering Research Center for Quantum Networks (CQN),1941583,F4320306076,National Science Foundation,
W4387966321,4,G7699037216,ULTRAPRECISE NANOSCALE INTEGRATED QUANTUM ENTANGLED SENSORS (UNIQUES),N000141912190,F4320306078,U.S. Department of Defense,
W4313430481,1,G618094305,,W911NF-16-2-0151,F4320332180,Defense Advanced Research Projects Agency,
W4313430481,2,G7576470222,NSF Engineering Research Center for Quantum Networks (CQN),1941583,F4320306076,National Science Foundation,
W4313430481,3,G8778025950,EFRI ACQUIRE: Integrated Nanophotonic Solid State Memories for Telecom Wavelength Quantum Repeaters,1640959,F4320306076,National Science Foundation,
W3192982632,1,G1210759672,,Contract No. DE-SC0012704,F4320337480,Basic Energy Sciences,
W3192982632,2,G1285306620,,SC0012704,F4320338289,Brookhaven National Laboratory,
W3192982632,3,G1391239255,,19-022266,F4320306084,U.S. Department of Energy,
W3192982632,4,G141402488,,DE-SC0019140,F4320337480,Basic Energy Sciences,
W3192982632,5,G1689895378,,19-022266,F4320332359,Office of Science,
W3192982632,6,G1747787043,,ERKCK47,F4320337480,Basic Energy Sciences,
W3192982632,7,G1847291448,,DE- SC0012704,F4320337480,Basic Energy Sciences,
W3192982632,8,G1868695577,,No. DE-SC0012704,F4320338289,Brookhaven National Laboratory,
W3192982632,9,G2030660654,,DE-SC0012704,F4320332369,National Nuclear Security Administration,
W3192982632,10,G241279073,,DE‐SC0012704,F4320306084,U.S. Department of Energy,
W3192982632,11,G2664332745,,DE-NA-003525,F4320338291,Sandia National Laboratories,
W3192982632,12,G2930498565,,FWP 19-022266,F4320306084,U.S. Department of Energy,
W3192982632,13,G3262563802,,DE- SC0012704,F4320338289,Brookhaven National Laboratory,
W3192982632,14,G346992751,,FWP ERKCK47,F4320306084,U.S. Department of Energy,
W3192982632,15,G357145406,,DE-SC-0012704,F4320332359,Office of Science,
W3192982632,16,G3850097093,,No. DE-SC0012704,F4320332359,Office of Science,
W3192982632,17,G3960396937,,DE-NA-003525,F4320306084,U.S. Department of Energy,
W3192982632,18,G4149624025,,DE-SC0012704,F4320306202,Gordon and Betty Moore Foundation,
W3192982632,19,G4391555091,,FWP ERKCK47,F4320337480,Basic Energy Sciences,
W3192982632,20,G4662383146,,No. DE-SC0012704,F4320337480,Basic Energy Sciences,
W3192982632,21,G468147483,,DE-SC0012704,F4320337506,Advanced Scientific Computing Research,
W3192982632,22,G4920325777,,DE-SC0012704,F4320337547,Laboratory Directed Research and Development,
W3192982632,23,G4972998915,,Contract No: DESC0012704,F4320306084,U.S. Department of Energy,
W3192982632,24,G5417557083,,Contract No. DE-SC0012704,F4320338289,Brookhaven National Laboratory,
W3192982632,25,G5633341255,,No. DE-SC0012704,F4320306084,U.S. Department of Energy,
W3192982632,26,G5765906131,,SC0012704.,F4320306084,U.S. Department of Energy,
W3192982632,27,G6071515299,PHOTONICS AT THERMODYNAMIC LIMITS,DESC0019140,F4320332359,Office of Science,
W3192982632,28,G6733788163,,Contract No. DE-SC0012704,F4320332359,Office of Science,
W3192982632,29,G6965541988,,SC0012704,F4320337480,Basic Energy Sciences,
W3192982632,30,G7463374569,,SC0012704,F4320332359,Office of Science,
W3192982632,31,G8369078201,,DE-NA-003525,F4320332369,National Nuclear Security Administration,
W3192982632,32,G8434747894,PHOTONICS AT THERMODYNAMIC LIMITS,DESC0019140,F4320306084,U.S. Department of Energy,
W4386879270,1,G3198857984,,IITP2021-2021-0-01835,F4320328359,"Ministry of Science and ICT, South Korea",
W4386879270,2,G324419644,,2021R1F1A1045861,F4320322120,National Research Foundation of Korea,
W4386879270,3,G411995541,,2021R1F1A1045861,F4320322064,Korea Institute for Advancement of Technology,
W4386879270,4,G4609609716,,2021-0- 00590,F4320322064,Korea Institute for Advancement of Technology,
W4386879270,5,G4810845027,,P0008703,F4320321681,"Ministry of Trade, Industry and Energy",
W4386879270,6,G4904848271,,IITP2021-2021-0-01835,F4320322064,Korea Institute for Advancement of Technology,
W4386879270,7,G5517528268,,2021-0-00590,F4320335489,Institute for Information and Communications Technology Promotion,
W4386879270,8,G7161821905,,2021-0- 00590,F4320322120,National Research Foundation of Korea,
W4386879270,9,G7163929012,,2021-0-00590,F4320328359,"Ministry of Science and ICT, South Korea",
W4386879270,10,G7262886773,,P0008703,F4320322064,Korea Institute for Advancement of Technology,
W4386879270,11,G7302126218,,2021R1F1A1045861,F4320328359,"Ministry of Science and ICT, South Korea",
W4386879270,12,G7342722530,,P0008703,F4320322120,National Research Foundation of Korea,
