position,field,r_class,n_filled,fill_pct,n_unique,example,definition,notes,documented
1,requested_work_id,character,1194,100,1194,W3128101795,OpenAlex Work ID as supplied in the source workbook.,"Primary key. 1,194 unique IDs.",TRUE
2,returned_openalex_id,character,1194,100,1194,W3128101795,Work ID returned by the API.,Differs from requested only if a record was merged; no merges found here.,TRUE
3,fetch_status,character,1194,100,1,ok,ok / not_found.,"All 1,194 = ok.",TRUE
4,fetch_method,character,1194,100,2,list_filter,How the record was retrieved.,list_filter = batch query; singleton_xpac = fetched individually.,TRUE
5,is_xpac,logical,1194,100,2,FALSE,TRUE = expansion-corpus record.,2 works. Thinner metadata; excluded from OpenAlex queries by default.,TRUE
6,doi,character,1170,98,1164,https://doi.org/10.1088/2515-7647/ac1ef4,Standard OpenAlex Work field: doi,,FALSE
7,title,character,1194,100,969,2022 Roadmap on integrated quantum photonics,Standard OpenAlex Work field: title,,FALSE
8,type,character,1194,100,10,article,Standard OpenAlex Work field: type,,FALSE
9,raw_type,character,0,0,0,,Standard OpenAlex Work field: raw_type,,FALSE
10,publication_year,integer,1194,100,10,2021,Standard OpenAlex Work field: publication_year,,FALSE
11,publication_date,character,1194,100,708,2021-08-18,Standard OpenAlex Work field: publication_date,,FALSE
12,source_display_name,character,991,83,141,Journal of Physics Photonics,Standard OpenAlex Work field: source_display_name,,FALSE
13,author_names_clean,character,1194,100,859,Galan Moody; Volker J. Sorger; Daniel J Blumenthal; P Juodaw,"All author names, submission order preserved.","'; ' delimited. No OpenAlex IDs, no affiliations. Not limited to UA.",TRUE
14,institution_names_clean,character,835,69.9,572,"University of California, Santa Barbara; George Washington U",Distinct institution names for the work.,"'; ' delimited, deduplicated. Names only, no OpenAlex IDs.",TRUE
15,authorships_countries,character,1194,100,398,US | US | US | US | US | US | GB | GB | GB | GB | US | US | ,ISO country code(s) per author.,"' | ' separates authors (order preserved); ',' separates multiple countries for one author; empty slot = no country.",TRUE
16,countries_distinct_count,integer,1194,100,9,9,OpenAlex's count of distinct author countries.,Authoritative; use this over the *_computed version.,TRUE
17,institutions_distinct_count,integer,1194,100,20,33,OpenAlex's count of distinct author institutions.,Exceeds locally recomputed value on 12 works.,TRUE
18,funder_display_names,character,851,71.3,658,Army Research Office; U.S. Department of Energy; Defense Adv,Funder names for the work.,"Requested as grants.funder_display_name. Union of awards[].funder_display_name and funders[]. '; ' delimited, deduplicated.",TRUE
19,award_ids,character,790,66.2,675,FA8702-15-D-0001 | FA8702-15-D-0001 | FA8702-15-D-0001 | EP/,Funder's own grant/award numbers.,Requested as grants.award_id; sourced from awards[].funder_award_id. ' | ' delimited because 13 works have grant IDs containing ';'.,TRUE
20,pmid,character,152,12.7,152,https://pubmed.ncbi.nlm.nih.gov/38926403,Standard OpenAlex Work field: pmid,,FALSE
21,pmcid,character,0,0,0,,Standard OpenAlex Work field: pmcid,,FALSE
22,mag,character,99,8.3,99,3128101795,Standard OpenAlex Work field: mag,,FALSE
23,type_crossref,character,0,0,0,,Standard OpenAlex Work field: type_crossref,,FALSE
24,language,character,1155,96.7,4,en,Standard OpenAlex Work field: language,,FALSE
25,volume,character,563,47.2,126,4,Standard OpenAlex Work field: volume,,FALSE
26,issue,character,491,41.1,53,1,Standard OpenAlex Work field: issue,,FALSE
27,first_page,character,513,43,451,012501,Standard OpenAlex Work field: first_page,,FALSE
28,last_page,character,512,42.9,459,012501,Standard OpenAlex Work field: last_page,,FALSE
