Hossein Ardehali: Found, but ROR in last_known_institution does not match https://ror.org/03m2x1q45.
Hossein Ardehali: Found in OA, but ROR mismatch.
Hossein Ardehali: Found in OA, but ROR mismatch.
Hossein Ardehali: Found in OA, but ROR mismatch.
Hossein Ardehali: Found in OA, but ROR mismatch.
Hossein Ardehali: Found in OA, but ROR mismatch.
Hossein Ardehali: Found in OA, but ROR mismatch.
Hossein Ardehali: Found in OA, but ROR mismatch.
Hossein Ardehali: Found in OA, but ROR mismatch.
Hossein Ardehali: Found in OA, but ROR mismatch.
Hossein Ardehali: Found in OA, but ROR mismatch.
