Name 	Institution	College 	NIH Funded PI (NIDDK or Diabetes Focus)	NIH Funded Co-PI (NIDDK or Diabetes Focus)	Previously NIDDK Funded Diabetes Focus 
BEEMAN, SCOTT CHARLES	ASU	Engineering			X
BROSIUS, FRANK C (OTHER PI - WERTHEIM GRANT)	ASU	COM-T		X	
BUMAN, MATTHEW P	ASU	Health Solutions	X		
GREEN, ELLEN P	ASU	Health Solutions	X		
JOSEPH, RODNEY 	ASU	Nursing	X		
KATSANOS, CHRISTOS S	ASU	Life Sciences			X
KIM, MIN HYUN 	ASU	Health Solutions	X		
KRAJMALNIK-BROWN, ROSA 	ASU	Life Sciences			X
LABAER, JOSHUA 	ASU	Life Sciences	X		
LUECKEN, LINDA J (OTHER PI - PEREZ GRANT)	ASU	Psychology 		X	
MANA, MIYEKO 	ASU	Life Sciences	X		
OWOLABI, EYITAYO OMOLARA (Postdoc Fellow)	ASU	Nuring 	X		
OYEYEMI, ADEWALE 	ASU	Health Solutions	X		
PEREZ, MARISOL 	ASU	Health Solutions	X		
REIFSNIDER, ELIZABETH A.	ASU	Health Solutions			X
SHAIBI, GABRIEL QUANTUM	ASU	Health Solutions	X		
SI, BING 	ASU	Computing 	X		
SUZUKI, TAICHI 	ASU	Health Solutions	X		
WEAVER, JESSICA DIANE	ASU	Engineering			X
WHISNER, CORRIE MARIE	ASU	Health Solutions			X
BAIER, LESLIE	NIDDK PHX	NA	X		
HANSON, ROBERT	NIDDK PHX	NA	X		
ALAOFE, HALIMATOU 	UA	Public Health 	X		
BASSFORD, TAMSEN E	UA	COM-T			X
BANERJEE, RONALDIP	UA	COM-T			X
CAI, HAIJIANG 	UA	College of Science	X		
CHILTON, FLOYD H	UA	CALS	X		
COLETTA, DAWN KATRINA	UA	COM-T			X
FARR, JOSHUA NICHOLAS	UA	COM-T	X		
GALLIGAN, JAMES J	UA	Pharmacy	X		
GURTNER, GEOFFREY C	UA	COM-T	X		
HINGLE, MELANIE DANIELA	UA	CALS	X		
KAELBERER, MELANIE MAYA	UA	COM-T	X		
KLIMENTIDIS, YANN CHARLES	UA	Public Health 			X
KUHNS, MICHAEL S	UA	COM-T	X		
LANGLAIS, PAUL R	UA	COM-T			X
LEE, NAM Y	UA	COM-T	X		
LIECHTY, KENNETH W	UA	COM-T			X
LIMESAND, SEAN W	UA	CALS	X		
MANDARINO, LAWRENCE	UA	COM-T			X
PAPAS, KLEARCHOS K	UA	COM-T			X
PERFECT, MICHELLE M	UA	College of Education			X
PURDY, JOHN GERARD (OTHER PI - WERTHEIM GRANT)	UA	COM-T		X	
RENQUIST, BENJAMIN JENNINGS	UA	CALS	X		
SLEPIAN, MARVIN J (OTHER PI - WERTHEIM GRANT)	UA	COM-T		X	
SNIDER, ASHLEY JONES	UA	CALS	X		
STERN, JENNIFER HELENE	UA	COM-T	X		
THOMPSON, PATRICIA ANN (OTHER PI - CHILTON GRANT)	UA	COM-T		X	
WERTHEIM, JASON A	UA	COM-T	X		
WILSON, JEAN M.	UA	COM-T			X
ZHANG, YANQIAO 	UA	COM-P	X		
ZHOU, JIN 	UA	Public Health 			X
ZHOU, WEI (OTHER PI - GURTNER GRANTS)	UA	COM-T		X	
CHAMBERS, MELISSA 	UA - PHX	COM-P		X	
HE, LING (OTHER PI on WONDISFORD GRANT)	UA - PHX	COM-T		X	
WONDISFORD, FREDRIC E.	UA - PHX	COM-P	X		
YIN, LIYA 	UA - PHX	COM-P	X		
XIAO, XIA 	UA- PHX	COM-P	X		
