Last Name ,First Name ,Institution
Ardehali,Hossein,UA
Badger,Terry,UA
Bailey,Fiona ,UA
Barton,Jennifer,UA
Bea,Jennifer ,UA
Bhattacharya ,Deepta,UA
Bibb,James,UA
Billheimer,Dean,UA
Blanco,Eduardo,UA
Block,Geoffrey,UA
Brosius,Frank,UA
Cai,Haijiang,UA
Carney,Megan,UA
Carvajal,Scott,UA
Chiamvimonvat,Nipavan,UA
Chilton,(Ski) Floyd,UA
Coletta ,Dawn,UA
Daines,Michael ,UA
Doroudgar,Shirin,UA
Doyle,Kristian,UA
Eggers,Erika,UA
Ehsani,Sima,UA
Erickson,Elise ,UA
Farland,Leslie,UA
Farr,Joshua,UA
Flores ,Melissa ,UA
Galligan,James,UA
Godfrey,Timian,UA
GOYAL,RAVI,UA
Grandner,Michael,UA
Hamilton,Shanna,UA
Hingle,Melanie,UA
Hulme,Christopher,UA
Kaelberer,Maya,UA
Kalin,Tatiana,UA
Karp,Jordan,UA
Kececioglu,John,UA
Klimentidis,Yann,UA
Langlais,Paul ,UA
Lapierre,Matthew,UA
Ledford,Julie,UA
Lee,Jeannie,UA
Leroy,Gondy,UA
Li,Hongmin,UA
Li,Haiquan,UA
Liechty,Kenneth,UA
Lim,Chris,UA
Lin,Lifeng,UA
Luo,Moulun,UA
Lutrick,Karen,UA
Mandarino,Lawrence,UA
Migrino,Raymond,UA
Moore Monroy,Martha ,UA
Nuño,Tomás,UA
Parthasarathy,Sairam,UA
Perfect,Michelle,UA
Purdy,John,UA
Putnam,Charles,UA
Radovick,Sally,UA
Renquist,Benjamin,UA
Reynolds,Kelly,UA
Rischard,Franz,UA
Rodgers,Kathleen,UA
Root,Robert,UA
Ruiz,John,UA
Ryan,Lee,UA
Skiba,Meghan,UA
Skorupski,Kayle,UA
Song,Shang,UA
Sun,Xiaoxiao ,UA
Sutphin,George,UA
Taylor-Piliae,Ruth,UA
Tecot,Stacey,UA
Valencia,Celina,UA
Vedantham,Srinivasan,UA
Wilson,Justin,UA
Wilund,Ken,UA
Wu,Jing,UA
Yin,Liya,UA
Zhang,Yanqiao,UA
Zhou,Wei ,UA
Oyeyemi,Adewale,ASU
Borges Florsheim,Esther,ASU
Chen,Kewei,ASU
Carpenter,Stephanie Marita,ASU
Kang,Yun,ASU
Todd,Michael,ASU
Miller,Jordan,ASU
Chung,Yunro,ASU
Moffett,Carol,ASU
Grimm,Kevin,ASU
Sugar,Thomas,ASU
Klein-Seetharaman,Judith,ASU
Sears,Dorothy,ASU
Katsanos,Christos,ASU
Lind,Mary Laura,ASU
Rangasamy,Sampath,ASU
Kong,Wei,ASU
Whisner,Corrie,ASU
Petrov,Megan,ASU
Krajmalnik-Brown,Rosa,ASU
Racette,Susan,ASU
Youngstedt,Shawn,ASU
Poulos,Allison,ASU
Tseng,Jui-Heng,ASU
Buetow,Kenneth,ASU
Wang,Kuei-Chun,ASU
Sweazea,Karen,ASU
mastroeni,diego,ASU
Hammett,Julia,ASU
Braden,Blair,ASU
Baral,Chitta,ASU
Trumble,Ben,ASU
Lemery-Chalfant,Kathryn,ASU
Joseph,Rodney,ASU
Wang,Shu,ASU
Shaibi,Gabriel,ASU
Mana,Miyeko,ASU
Kim,Min-Hyun,ASU
Roberts,Joseph,ASU
Varman,Arul Mozhy,ASU
Huseby,Carol,ASU
Pizziconi,Vincent,ASU
Sanabria,Federico,ASU
Zaidman,Nathan,UNM
Rumma,Rowza,UNM
Liu,Meilian,UNM
Xue,Xiang,UNM
Westlund High,Karin,UNM
Katukuri,Vivek,UNM
Machin,Daniel,UNM
Argyropoulos,Christos,UNM
Castillo,Eliseo,UNM
Jimenez,Elizabeth,UNM
Noureddine,Achraf,UNM
Resta,Thomas,UNM
Balne,Praveen,UNM
Clark,f,UNM
Deyhle,Michael,UNM
Lanier,Olivia,UNM
Ponomarova,Olga ,UNM
Gardiner,Amy,UNM
Pu,Jing,UNM
Feng ,Changjian,UNM
Jiang,Ting,UNM
Gonzalez Bosc,Laura,UNM
Kim,Tae-Hyung,UNM
Swamidoss,Finny,UNM
Shuttleworth,William,UNM
Soleimani,Manoocher,UNM
perkins,david,UNM
Endicott,Joseph,UNM
Chackerian,Bryce,UNM
Jernigan,Nikki,UNM
Prossnitz,Eric,UNM
Wagner,Brent,UNM
cassano,jingyue,UNM
Das,Arup,UNM
Unruh,Mark,UNM
Yarrington,Christina ,UNM
Hsu,Pamela,UNM
Hofler,Lisa,UNM
Baier,Leslie,NIDDK
Hanson,Robert,NIDDK
Stern,Jennifer,UA
Rogers,Kathleen,UA
Weinkauf,Craig,UA
Gurtner,Geoffrey C,UA
Brinton,Roberta,UA
Kiela,Pawel R,UA
Wertheim,Jason A,UA
Kaelberer,Melanie Maya,UA
Wondisford,Fredric E.,UA
Wilson,Jean M,UA
Doll,Chelsea,UA
Limesand,Sean W,UA
Snider,Ashley,UA
Petrullo,Lauren,UA
Lee,Nam Y,UA
Labaer,Joshua,ASU
Si,Bing,ASU
owolabi,Eyitayo Omolara,ASU
Perez,Marisol,ASU
Ko ,Randy,UNM
Shekarriz,Reza,UNM
Balne ,Praveen,UNM
Deretic,Vojo,UNM
Argyopoulos,Christos,UNM
Varman,"Arul Mozhy,",ASU
Thomas,Marylaura,ASU
Zhou,Chi ,UA
Banerjee,Ronaldip,UA
Camey,Megan,UA
