doi,in_doaj,doaj_journal
https://doi.org/10.1016/j.bbih.2023.100600,TRUE,"Brain, Behavior, & Immunity - Health"
https://doi.org/10.3847/1538-4357/acebe0,TRUE,The Astrophysical Journal
https://doi.org/10.3847/1538-4357/aceb5c,TRUE,The Astrophysical Journal
https://doi.org/10.3847/1538-4357/acd53c,TRUE,The Astrophysical Journal
https://doi.org/10.3390/info14070367,TRUE,Information
https://doi.org/10.1126/sciadv.ade9797,FALSE,NA
https://doi.org/10.3847/1538-3881/acf9f9,TRUE,The Astronomical Journal
https://doi.org/10.3847/1538-4365/acc173,TRUE,The Astrophysical Journal Supplement Series
https://doi.org/10.1126/sciadv.adh4973,FALSE,NA
https://doi.org/10.3847/1538-4357/aca46f,TRUE,The Astrophysical Journal
